description,category
Juice bar payment,Dining
Fruit basket purchase,Groceries
Floor tile grout fix,Utilities
Cloud computing course,Education
Plaster setting fee,Health
Discount grocery shopping,Groceries
Mobile phone case,Shopping
Football match entry,Entertainment
Dinner date restaurant,Dining
Highway fuel stop,Transport
Train reservation fee,Transport
Bike taxi ride,Transport
Organic food market,Groceries
Home wifi monthly,Utilities
Dine in family outing,Dining
Language learning app,Education
Amazon Prime video,Entertainment
Motorcycle spare part,Transport
Remote car toy,Shopping
Smart home device fee,Utilities
Stepney tyre fix,Transport
Data science course online,Education
Cycling tour booking,Entertainment
Gum treatment fee,Health
Fast food combo deal,Dining
Stationery items shop,Education
Raffle entry fee,Entertainment
Nueplex cinema booking,Entertainment
Jigsaw puzzle order,Shopping
Oven technician visit,Utilities
Islamic studies class,Education
IT training institute,Education
Shoes store Bata,Shopping
Web development bootcamp,Education
City tour booking,Entertainment
Ride sharing Bykea,Transport
School bag new buy,Shopping
Dampness treatment,Utilities
Smartwatch online order,Shopping
Laptop bag purchase,Shopping
Vitamins and supplements,Health
SSGC gas bill,Utilities
Dinner with friends restaurant,Dining
Wall repair putty,Utilities
GMAT test registration,Education
Action figure buy,Shopping
Hafiz program fee,Education
Late night biryani,Dining
Weight training coach,Health
Dumplings restaurant visit,Dining
Fan motor repair,Utilities
Evening commute fare,Transport
Blood sugar kit,Health
Accessories purchase online,Shopping
Medical store Dawakhana,Health
Rock climbing gym,Entertainment
Decoration items buy,Shopping
College semester fee,Education
Falooda shop payment,Dining
Road trip petrol fill,Transport
Whole wheat flour,Groceries
Generator fuel,Utilities
Grains and cereals buy,Groceries
Hiking event registration,Entertainment
Naan and kebab shop,Dining
Electric bill monthly,Utilities
Aloe vera drink buy,Groceries
Antigen test pharmacy,Health
Plumbing pipe fix,Utilities
Economy air ticket,Transport
Generator maintenance,Utilities
Photocopy charges,Education
Zong data package,Utilities
Third party insurance,Transport
Allergy medicine purchase,Health
Overhead tank fill,Utilities
Emergency taxi booking,Transport
Ideas home decor,Shopping
Roof repair plumber,Utilities
Music lesson fee,Education
New mobile phone purchase,Shopping
Geometry box purchase,Education
Electronics gadget store,Shopping
Photo frame store,Shopping
Roadside assistance fee,Transport
BBQ tonight restaurant,Dining
University tuition fee,Education
Bike insurance renewal,Transport
Cafeteria lunch payment,Dining
Ketchup and mayo shop,Groceries
Tea bags grocery,Groceries
Rug and carpet purchase,Shopping
Public speaking workshop,Education
Tikka grill restaurant,Dining
Tutoring session fee,Education
Supermarket fruit section,Groceries
HESCO electricity,Utilities
Soft skills workshop,Education
Car exhaust repair,Transport
Gear box service,Transport
Wrap and roll order,Dining
Motorway pass renewal,Transport
Smoothie bar payment,Dining
Fresh vegetables market,Groceries
Art gallery ticket,Entertainment
Concert event ticket,Entertainment
Cologne purchase store,Shopping
Junaid Jamshed kurta,Shopping
Handbag fashion store,Shopping
Car horn repair,Transport
Raincoat buy store,Shopping
Stargazing night event,Entertainment
Crockery set purchase,Shopping
PlayStation store,Entertainment
Noodles instant pack,Groceries
Virtual class payment,Education
Metro train ticket,Transport
Baby bottle set,Shopping
Wiring repair home,Utilities
Wound dressing pharmacy,Health
Night coach fare,Transport
Diabetes checkup test,Health
O level class fee,Education
PMP certification fee,Education
External hard disk,Shopping
Boundary wall fix,Utilities
Diaper bag purchase,Shopping
Sweets shop mithai,Groceries
Sleep study clinic,Health
Snooker club session,Entertainment
Revision guide buy,Education
CSS preparation course,Education
Coolant fill station,Transport
Razor and shaving kit,Shopping
Coursera online course,Education
Fumigation home charge,Utilities
Microsoft certification,Education
Camera purchase store,Shopping
Theme park entry fee,Entertainment
Stand up comedy show,Entertainment
Lentils and chickpeas shop,Groceries
Semester registration fee,Education
Craft supplies school,Education
Online quiz platform,Education
Mineral water bottles,Groceries
Chess tournament entry,Entertainment
Al-Fatah grocery store,Groceries
Water filter maintenance,Utilities
Highlighters set school,Education
Gaming chair order,Shopping
Seasonal vegetables buy,Groceries
Hospital cab fare,Transport
Cable TV subscription,Utilities
Drain cleaning service,Utilities
PPSC exam fee,Education
Car seat for baby,Shopping
Softener salt buy,Utilities
Early morning taxi,Transport
Water supply bill,Utilities
Kids clothes purchase,Shopping
Parallel parking lesson,Transport
Vehicle token tax,Transport
Fish market purchase,Groceries
International call pack,Utilities
Root canal fee,Health
Mini golf activity,Entertainment
Late night cab ride,Transport
Snacks and chips shopping,Groceries
Clinic visit fee,Health
Hot pot restaurant,Dining
Ride hailing app trip,Transport
Table tennis session,Entertainment
Qingqi ride fare,Transport
Hair care products buy,Shopping
Nursing accessories buy,Shopping
Breakfast items grocery,Groceries
Property tax payment,Utilities
Learner driving lesson,Transport
Polo match ticket,Entertainment
Fuel station nearby,Transport
Football buy store,Shopping
Bungee jumping fee,Entertainment
Skincare products order,Shopping
Protein bar shop,Groceries
Home sanitize charge,Utilities
Grocery run weekday,Groceries
Safari park entry,Entertainment
Board game purchase,Shopping
Vacuum cleaner buy,Shopping
Archery range session,Entertainment
Ghee and cooking fat shop,Groceries
Tinned fish purchase,Groceries
Digital marketing course,Education
Internet bill Jazz,Utilities
Skyways bus booking,Transport
Oximeter purchase,Health
Chocolate and candy shop,Groceries
Iron tablet pharmacy,Health
Sana Safinaz collection,Shopping
DTH satellite dish bill,Utilities
Home automation cost,Utilities
Emergency electrician call,Utilities
Phone charger buy,Shopping
CCTV maintenance fee,Utilities
Baby products shopping,Shopping
Load shedding UPS fix,Utilities
Inhalers and nebulizer,Health
Telenor monthly package,Utilities
Laptop stand purchase,Shopping
Sushi restaurant dinner,Dining
Circus ticket purchase,Entertainment
Public transport monthly,Transport
Transcript fee university,Education
Physical therapy fee,Health
Lunch business meeting,Dining
PCR test fee,Health
Swimming class fee,Education
Iron box purchase,Shopping
Careem cab booking,Transport
Auto spare parts buy,Transport
Solar inverter service,Utilities
Motorway toll tax,Transport
KFC lunch meal,Dining
Rehabilitation session,Health
Virtual reality arcade,Entertainment
Parking fee downtown,Transport
Warda fashion sale,Shopping
Car detailing service,Transport
Hearing aid fitting,Health
Contact lens order,Health
Car wiper replacement,Transport
Graphic design course,Education
Soy sauce bottle,Groceries
Metro cash and carry,Groceries
Insecticide spray home,Utilities
Robotics workshop kids,Education
Hardees fast food,Dining
Men kurta shalwar,Shopping
Gutter cleaning fee,Utilities
Khaadi dress purchase,Shopping
Car wash service,Transport
Antibiotic prescription fill,Health
Morning commute Careem,Transport
Ladies sandals buy,Shopping
Pizza Hut order,Dining
Driver monthly salary,Transport
Bedsheet and pillow cover,Shopping
Dahi and lassi shop,Groceries
Fitness challenge fee,Health
Office food order,Dining
Karahi at local eatery,Dining
Project material buy,Education
Notebook and pen store,Education
Nihari restaurant Sunday,Dining
Fridge repair service,Utilities
Bird watching tour,Entertainment
Pharmacy medicine purchase,Health
Electric bike charge,Transport
Semolina suji purchase,Groceries
Kids entertainment zone,Entertainment
Packing food items buy,Groceries
Winter jacket purchase,Shopping
Spices and condiments store,Groceries
Electric shaver purchase,Shopping
Kidney function test,Health
College library fine,Education
School canteen lunch,Dining
CT scan fee,Health
Toys for kids order,Shopping
Atlas and map book,Education
SMS bundle purchase,Utilities
Cough syrup medicine,Health
Burger King combo meal,Dining
Hotel breakfast buffet,Dining
Dictionary purchase store,Education
Cafe coffee and snacks,Dining
Neurologist appointment,Health
Grocery haul sunday,Groceries
School book purchase,Education
Bike chain repair,Transport
Project management course,Education
Scooter fuel refill,Transport
Soft drink restaurant,Dining
Improv show ticket,Entertainment
InDrive ride home,Transport
Parking token mall,Transport
Rickshaw fare payment,Transport
Museum entry fee,Entertainment
Road trip fuel expense,Transport
Escape room booking,Entertainment
Intercity bus booking,Transport
Massage therapy fee,Health
Salt and seasoning buy,Groceries
CCTV installation cost,Utilities
Electricity bill LESCO,Utilities
Short film screening,Entertainment
Accounting course fee,Education
MDCAT preparation,Education
Morning walk club,Health
Airport taxi fare,Transport
Eid grocery shopping,Groceries
Express bus fare,Transport
Dance fitness class,Health
Internet router service,Utilities
Driver training school,Transport
Office pantry charge,Dining
Colonoscopy procedure,Health
Bread loaf bakery,Groceries
Local restaurant dinner,Dining
Society dues payment,Utilities
ECG test fee,Health
Lunch box order online,Dining
Study notes purchase,Education
Biryani house order,Dining
Fuel refill evening,Transport
Complete blood count test,Health
Potato and onion bulk,Groceries
Nestle milk carton,Groceries
Tang drinks powder,Groceries
Steak house dinner,Dining
Comedy show event,Entertainment
Chiropractic session,Health
Packaged food purchase,Groceries
Car battery replacement,Transport
Hot air balloon ride,Entertainment
Fried chicken deal,Dining
Trampoline park booking,Entertainment
Makeup kit purchase,Shopping
Basmati rice premium,Groceries
Podcast premium plan,Entertainment
Flash cards purchase,Education
Home alarm system fee,Utilities
Pest control service,Utilities
Non stick pan buy,Shopping
Apartment maintenance fee,Utilities
Burn treatment clinic,Health
Roaming charges bill,Utilities
MRI scan charges,Health
Descaling service,Utilities
Cultural festival ticket,Entertainment
Cholesterol test fee,Health
Dental filling cost,Health
Ride to university,Transport
Public service exam prep,Education
Wagon ride intercity,Transport
Uber ride to airport,Transport
Spinning class session,Health
Lunchbox for kids,Shopping
Pediatrician visit,Health
Dine out Saturday night,Dining
HIIT session fee,Health
Calcium supplement store,Health
Gas connection fee,Utilities
Faisal Movers bus ticket,Transport
Cricket match ticket,Entertainment
Jalebi shop purchase,Dining
Street magic show,Entertainment
Surgical mask pharmacy,Health
Study material purchase,Education
Food festival entry,Entertainment
Color pencil set,Education
Yogurt and cheese shop,Groceries
Ufone postpaid bill,Utilities
Local kirana store,Groceries
Acne treatment clinic,Health
Household grocery items,Groceries
Weekend drive fuel,Transport
Night safari visit,Entertainment
Lipstick and foundation,Shopping
FPSC exam registration,Education
Monitor for desk,Shopping
Pipe leakage repair,Utilities
Rooftop cafe dinner,Dining
Hyperstar food items,Groceries
Tea stall morning tea,Dining
Fertility test fee,Health
Documentary screening,Entertainment
PTE exam registration,Education
Antiseptic cream pharmacy,Health
Experiment tools set,Education
Shampoo conditioner set,Shopping
Grilled chicken meal,Dining
Engine oil top up,Transport
Weekly brunch spot,Dining
Corn soup restaurant,Dining
Waterpark day pass,Entertainment
Warid telecom bill,Utilities
Cream biscuits pack,Groceries
Onion rings restaurant,Dining
